year,track,stage,award,team_id,team_name,school,project_name,repo_name,repo_url,clone_url,repo_host,source_type,source_file,source_url,collected_at
2025,kernel,award,一等奖,,Del0n1x,哈尔滨工业大学（深圳）,T202518123995600-2523,T202518123995600-2523,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202518123995600-2523,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202518123995600-2523.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2025,kernel,award,一等奖,,Chronix,哈尔滨工业大学（深圳）,T202518123995568-675,T202518123995568-675,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202518123995568-675,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202518123995568-675.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2025,kernel,award,一等奖,,rustflyer,哈尔滨工业大学（深圳）,T202518123995755-2974,T202518123995755-2974,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202518123995755-2974,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202518123995755-2974.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2025,kernel,award,一等奖,,NoAxiom,杭州电子科技大学,T202510336995214-148,T202510336995214-148,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510336995214-148,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510336995214-148.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2025,kernel,award,一等奖,,StarryX,杭州电子科技大学,T202510336995486-3037,T202510336995486-3037,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510336995486-3037,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510336995486-3037.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2025,kernel,award,一等奖,,Starry Mix,清华大学,starry-mix,starry-mix,https://gitlab.eduxiji.net/educg-group-36002-2710490/starry-mix,https://gitlab.eduxiji.net/educg-group-36002-2710490/starry-mix.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2025,kernel,award,一等奖,,undefined,清华大学,T202510003995291-2331,T202510003995291-2331,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510003995291-2331,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510003995291-2331.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2025,kernel,award,一等奖（MVP）,,火箭队,哈尔滨工业大学,T202510213995926-2475,T202510213995926-2475,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510213995926-2475,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510213995926-2475.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2024,kernel,award,一等奖,,Phoenix,哈尔滨工业大学（深圳）,T202418123993075-2940,T202418123993075-2940,https://gitlab.eduxiji.net/educg-group-26010-2376550/T202418123993075-2940,https://gitlab.eduxiji.net/educg-group-26010-2376550/T202418123993075-2940.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2024,kernel,award,一等奖,,练习时长两年半,哈尔滨工业大学,T202410213992712-3123,T202410213992712-3123,https://gitlab.eduxiji.net/educg-group-26010-2376550/T202410213992712-3123,https://gitlab.eduxiji.net/educg-group-26010-2376550/T202410213992712-3123.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2024,kernel,award,一等奖,,ChCore,上海交通大学,T202410248992613-106,T202410248992613-106,https://gitlab.eduxiji.net/educg-group-26010-2376550/T202410248992613-106,https://gitlab.eduxiji.net/educg-group-26010-2376550/T202410248992613-106.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2024,kernel,award,一等奖,,RustTrustHuster,华中科技大学,T202410487992457-1800,T202410487992457-1800,https://gitlab.eduxiji.net/educg-group-26010-2376550/T202410487992457-1800,https://gitlab.eduxiji.net/educg-group-26010-2376550/T202410487992457-1800.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2024,kernel,award,一等奖,,Pantheon,杭州电子科技大学,T202410336992584-3678,T202410336992584-3678,https://gitlab.eduxiji.net/educg-group-26010-2376550/T202410336992584-3678,https://gitlab.eduxiji.net/educg-group-26010-2376550/T202410336992584-3678.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2024,kernel,award,一等奖,,NPUcore-IMPACT!!!,西北工业大学,T202410699992496-312,T202410699992496-312,https://gitlab.eduxiji.net/educg-group-26011-2376549/T202410699992496-312,https://gitlab.eduxiji.net/educg-group-26011-2376549/T202410699992496-312.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2023,kernel,award,特等奖,,PLNTRY,西安交通大学,OSKernel2023-umi,OSKernel2023-umi,https://gitlab.eduxiji.net/PLNTRY/OSKernel2023-umi,https://gitlab.eduxiji.net/PLNTRY/OSKernel2023-umi.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2023,kernel,award,一等奖,,种田队,北京航空航天大学,zhongtianos,zhongtianos,https://gitlab.eduxiji.net/202310006101080/zhongtianos,https://gitlab.eduxiji.net/202310006101080/zhongtianos.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2023,kernel,award,一等奖,,Alien,北京理工大学,Alien,Alien,https://gitlab.eduxiji.net/202310007101563/Alien,https://gitlab.eduxiji.net/202310007101563/Alien.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2023,kernel,award,一等奖,,Titanix,哈尔滨工业大学（深圳）,oskernel2023-Titanix,oskernel2023-Titanix,https://gitlab.eduxiji.net/202318123101314/oskernel2023-Titanix,https://gitlab.eduxiji.net/202318123101314/oskernel2023-Titanix.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2023,kernel,award,一等奖,,你说对不队,河南科技大学,oskernel2023-byteos,oskernel2023-byteos,https://gitlab.eduxiji.net/202310464101015/oskernel2023-byteos,https://gitlab.eduxiji.net/202310464101015/oskernel2023-byteos.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2022,kernel,award,一等奖,,进击のOS,杭州电子科技大学,os,os,https://gitlab.eduxiji.net/educg-group-14239-914332/os,https://gitlab.eduxiji.net/educg-group-14239-914332/os.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2022,kernel,award,一等奖,,OopS,哈尔滨工业大学（深圳）,oskernel2022-oops,oskernel2022-oops,https://gitlab.eduxiji.net/educg-group-14239-914332/oskernel2022-oops,https://gitlab.eduxiji.net/educg-group-14239-914332/oskernel2022-oops.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2022,kernel,award,一等奖,,FTL OS,哈尔滨工业大学（深圳）,oskernel2022-ftlos,oskernel2022-ftlos,https://gitlab.eduxiji.net/educg-group-14157-894146/oskernel2022-ftlos,https://gitlab.eduxiji.net/educg-group-14157-894146/oskernel2022-ftlos.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2022,kernel,award,一等奖,,Maturin,清华大学,scPointer-812,scPointer-812,https://gitlab.eduxiji.net/educg-group-14239-914332/scPointer-812,https://gitlab.eduxiji.net/educg-group-14239-914332/scPointer-812.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2022,kernel,award,一等奖,,图漏图森破,北京航空航天大学,oskernel2022-x,oskernel2022-x,https://gitlab.eduxiji.net/educg-group-14239-914332/oskernel2022-x,https://gitlab.eduxiji.net/educg-group-14239-914332/oskernel2022-x.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2022,kernel,award,一等奖,,NPUcore,西北工业大学,oskernel2022-npucore,oskernel2022-npucore,https://gitlab.eduxiji.net/educg-group-14238-914330/oskernel2022-npucore,https://gitlab.eduxiji.net/educg-group-14238-914330/oskernel2022-npucore.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2021,kernel,award,一等奖,,UltraOS,哈尔滨工业大学（深圳）,ultraos,ultraos,https://gitlab.eduxiji.net/ultrateam/ultraos,https://gitlab.eduxiji.net/ultrateam/ultraos.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2021,kernel,award,一等奖,,3Los,华中科技大学,xv6-k210,xv6-k210,https://gitlab.eduxiji.net/retrhelo/xv6-k210,https://gitlab.eduxiji.net/retrhelo/xv6-k210.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2021,kernel,award,一等奖,,404小队,中国科学院大学,oskernel2021-404,oskernel2021-404,https://gitlab.eduxiji.net/HappyEric/oskernel2021-404,https://gitlab.eduxiji.net/HappyEric/oskernel2021-404.git,gitlab.eduxiji.net,winner,os-kernel-winners.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/os-kernel-winners.md,2026-06-24T11:48:25+00:00
2025,kernel,preliminary,,T202510213995926,火箭队,哈尔滨工业大学,T202510213995926-3349,T202510213995926-3349,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202510213995926-3349,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202510213995926-3349.git,gitlab.eduxiji.net,preliminary_2025,20250701-kernel-comp-repos.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/20250701-kernel-comp-repos.md,2026-06-24T11:48:26+00:00
2025,kernel,preliminary,,T202518123995600,Del0n1x,哈尔滨工业大学（深圳）,T202518123995600-3446,T202518123995600-3446,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202518123995600-3446,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202518123995600-3446.git,gitlab.eduxiji.net,preliminary_2025,20250701-kernel-comp-repos.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/20250701-kernel-comp-repos.md,2026-06-24T11:48:26+00:00
2025,kernel,preliminary,,T202518123995755,rustflyer,哈尔滨工业大学（深圳）,T202518123995755-1211,T202518123995755-1211,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202518123995755-1211,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202518123995755-1211.git,gitlab.eduxiji.net,preliminary_2025,20250701-kernel-comp-repos.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/20250701-kernel-comp-repos.md,2026-06-24T11:48:26+00:00
2025,kernel,preliminary,,T202518123995568,Chronix,哈尔滨工业大学（深圳）,T202518123995568-2656,T202518123995568-2656,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202518123995568-2656,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202518123995568-2656.git,gitlab.eduxiji.net,preliminary_2025,20250701-kernel-comp-repos.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/20250701-kernel-comp-repos.md,2026-06-24T11:48:26+00:00
2025,kernel,preliminary,,T202510336995214,NoAxiom,杭州电子科技大学,T202510336995214-3416,T202510336995214-3416,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202510336995214-3416,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202510336995214-3416.git,gitlab.eduxiji.net,preliminary_2025,20250701-kernel-comp-repos.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/20250701-kernel-comp-repos.md,2026-06-24T11:48:26+00:00
2025,kernel,preliminary,,T202510336995486,StarryX,杭州电子科技大学,T202510336995486-1803,T202510336995486-1803,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202510336995486-1803,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202510336995486-1803.git,gitlab.eduxiji.net,preliminary_2025,20250701-kernel-comp-repos.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/20250701-kernel-comp-repos.md,2026-06-24T11:48:26+00:00
2025,kernel,preliminary,,T202510003996120,Starry Mix,清华大学,T202510003996120-1441,T202510003996120-1441,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202510003996120-1441,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202510003996120-1441.git,gitlab.eduxiji.net,preliminary_2025,20250701-kernel-comp-repos.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/20250701-kernel-comp-repos.md,2026-06-24T11:48:26+00:00
2025,kernel,preliminary,,T202510003995291,undefined,清华大学,T202510003995291-2802,T202510003995291-2802,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202510003995291-2802,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202510003995291-2802.git,gitlab.eduxiji.net,preliminary_2025,20250701-kernel-comp-repos.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/20250701-kernel-comp-repos.md,2026-06-24T11:48:26+00:00
2025,kernel,preliminary,,T202510056995244,Moncake,天津大学,T202510056995244-2537,T202510056995244-2537,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202510056995244-2537,https://gitlab.eduxiji.net/educg-group-32146-2710490/T202510056995244-2537.git,gitlab.eduxiji.net,preliminary_2025,20250701-kernel-comp-repos.md,https://raw.githubusercontent.com/oscomp/os-competition-info/main/20250701-kernel-comp-repos.md,2026-06-24T11:48:26+00:00
